name,description,province
Đảo Phú Quốc,"Là hòn đảo lớn nhất của Việt Nam, nằm trong vịnh Thái Lan. Cách TP.HCM khoảng 400km về phía tây nam. Nổi tiếng với các bãi biển đẹp và nước mắm.",Kiên Giang
Vườn quốc gia Bạch Mã,"Nằm trên địa phận tỉnh Thừa Thiên Huế, cách thành phố Huế khoảng 40km về phía nam. Nổi tiếng với hệ sinh thái đa dạng và cảnh quan thiên nhiên tuyệt đẹp.",Thừa Thiên Huế
Đảo Nam Du,"Quần đảo nằm cách thành phố Rạch Giá khoảng 120km về phía tây nam. Nổi tiếng với các bãi biển hoang sơ và làng chài yên bình.",Kiên Giang
Thác Pongour,"Nằm ở xã Ninh Gia, huyện Đức Trọng, cách thành phố Đà Lạt khoảng 50km về phía nam. Được mệnh danh là Nam thiên đệ nhất thác (thác đẹp nhất phương Nam).",Lâm Đồng
Hồ Tuyền Lâm,"Nằm cách trung tâm thành phố Đà Lạt khoảng 5km về phía nam. Là hồ nước ngọt nhân tạo lớn nhất Đà Lạt, nổi tiếng với cảnh quan thiên nhiên tuyệt đẹp.",Lâm Đồng
Đảo Lý Sơn,"Nằm cách đất liền khoảng 15 hải lý về phía đông, thuộc tỉnh Quảng Ngãi. Nổi tiếng với cảnh quan biển đảo đẹp và đặc sản tỏi.",Quảng Ngãi
Vườn quốc gia Cát Tiên,"Nằm trên địa phận 3 tỉnh Đồng Nai, Lâm Đồng và Bình Phước, cách TP.HCM khoảng 150km về phía bắc. Là khu bảo tồn thiên nhiên quan trọng ở miền Nam Việt Nam.",Đồng Nai
Thác Datanla,"Nằm cách trung tâm thành phố Đà Lạt khoảng 5km về phía nam. Là thác nước đẹp với nhiều trò chơi mạo hiểm.",Lâm Đồng
Đảo Cô Tô,"Nằm cách đất liền khoảng 80km về phía đông, thuộc tỉnh Quảng Ninh. Nổi tiếng với các bãi biển cát trắng và nước trong xanh.",Quảng Ninh
Hồ Ba Bể,"Nằm ở huyện Ba Bể, tỉnh Bắc Kạn, cách Hà Nội khoảng 240km về phía bắc. Là hồ nước ngọt tự nhiên lớn nhất Việt Nam.",Bắc Kạn
Đảo Bình Ba,"Nằm trong vịnh Cam Ranh, cách thành phố Nha Trang khoảng 60km về phía nam. Nổi tiếng với các bãi biển đẹp và hải sản tươi ngon.",Khánh Hòa
Vườn quốc gia Bạch Mã,"Nằm trên địa phận tỉnh Thừa Thiên Huế, cách thành phố Huế khoảng 40km về phía nam. Nổi tiếng với hệ sinh thái đa dạng và cảnh quan thiên nhiên tuyệt đẹp.",Thừa Thiên Huế
Đảo Nam Du,"Quần đảo nằm cách thành phố Rạch Giá khoảng 120km về phía tây nam. Nổi tiếng với các bãi biển hoang sơ và làng chài yên bình.",Kiên Giang
Thác Pongour,"Nằm ở xã Ninh Gia, huyện Đức Trọng, cách thành phố Đà Lạt khoảng 50km về phía nam. Được mệnh danh là Nam thiên đệ nhất thác (thác đẹp nhất phương Nam).",Lâm Đồng
Hồ Tuyền Lâm,"Nằm cách trung tâm thành phố Đà Lạt khoảng 5km về phía nam. Là hồ nước ngọt nhân tạo lớn nhất Đà Lạt, nổi tiếng với cảnh quan thiên nhiên tuyệt đẹp.",Lâm Đồng
Đảo Lý Sơn,"Nằm cách đất liền khoảng 15 hải lý về phía đông, thuộc tỉnh Quảng Ngãi. Nổi tiếng với cảnh quan biển đảo đẹp và đặc sản tỏi.",Quảng Ngãi
Vườn quốc gia Cát Tiên,"Nằm trên địa phận 3 tỉnh Đồng Nai, Lâm Đồng và Bình Phước, cách TP.HCM khoảng 150km về phía bắc. Là khu bảo tồn thiên nhiên quan trọng ở miền Nam Việt Nam.",Đồng Nai
Thác Datanla,"Nằm cách trung tâm thành phố Đà Lạt khoảng 5km về phía nam. Là thác nước đẹp với nhiều trò chơi mạo hiểm.",Lâm Đồng
Đảo Cô Tô,"Nằm cách đất liền khoảng 80km về phía đông, thuộc tỉnh Quảng Ninh. Nổi tiếng với các bãi biển cát trắng và nước trong xanh.",Quảng Ninh
Hồ Ba Bể,"Nằm ở huyện Ba Bể, tỉnh Bắc Kạn, cách Hà Nội khoảng 240km về phía bắc. Là hồ nước ngọt tự nhiên lớn nhất Việt Nam.",Bắc Kạn
Đảo Bình Ba,"Nằm trong vịnh Cam Ranh, cách thành phố Nha Trang khoảng 60km về phía nam. Nổi tiếng với các bãi biển đẹp và hải sản tươi ngon.",Khánh Hòa
Vườn quốc gia Hoàng Liên,"Nằm trên địa phận hai huyện Sa Pa và Văn Bàn, cách thành phố Lào Cai khoảng 40km về phía tây nam. Nổi tiếng với đỉnh Fansipan và hệ sinh thái đa dạng.",Lào Cai
Đảo Hòn Sơn,"Nằm cách thành phố Rạch Giá khoảng 65km về phía tây nam. Là hòn đảo còn hoang sơ với nhiều bãi biển đẹp và núi non hùng vĩ.",Kiên Giang
Thác Bảo Đại,"Nằm ở xã Đạ Nhim, huyện Lạc Dương, cách thành phố Đà Lạt khoảng 15km về phía đông bắc. Là thác nước đẹp gắn liền với truyền thuyết về vua Bảo Đại.",Lâm Đồng
Hồ Dầu Tiếng,"Nằm trên địa phận 3 tỉnh Tây Ninh, Bình Dương và Bình Phước, cách TP.HCM khoảng 90km về phía tây bắc. Là hồ nhân tạo lớn nhất Việt Nam.",Tây Ninh
Đảo Ngọc Vừng,"Nằm trong vịnh Bái Tử Long, cách thành phố Hạ Long khoảng 40km về phía đông. Là hòn đảo hoang sơ với nhiều bãi biển đẹp.",Quảng Ninh
Vườn quốc gia Bù Gia Mập,"Nằm ở huyện Bù Gia Mập, cách TP.HCM khoảng 200km về phía đông bắc. Là khu bảo tồn thiên nhiên quan trọng với hệ động thực vật phong phú.",Bình Phước
Thác Hang Én,"Nằm trong Vườn Quốc gia Phong Nha-Kẻ Bàng, cách thành phố Đồng Hới khoảng 80km về phía tây bắc. Là thác nước đẹp gần cửa hang Én.",Quảng Bình
Đảo Cái Chiên,"Nằm ở huyện Hải Hà, cách thành phố Móng Cái khoảng 50km về phía đông nam. Là hòn đảo lớn nhất tỉnh Quảng Ninh với nhiều bãi biển đẹp.",Quảng Ninh
Hồ Pa Khoang,"Nằm ở xã Mường Phăng, huyện Điện Biên, cách thành phố Điện Biên Phủ khoảng 20km về phía tây bắc. Là hồ nước đẹp với cảnh quan núi rừng xung quanh.",Điện Biên
Đảo Bé (An Bình),"Nằm cách đảo Lý Sơn khoảng 3km về phía đông, thuộc huyện Lý Sơn. Là hòn đảo nhỏ với bãi biển đẹp và làng chài yên bình.",Quảng Ngãi
Vườn quốc gia Hoàng Liên,"Nằm trên địa phận hai huyện Sa Pa và Văn Bàn, cách thành phố Lào Cai khoảng 40km về phía tây nam. Nổi tiếng với đỉnh Fansipan và hệ sinh thái đa dạng.",Lào Cai
Đảo Hòn Sơn,"Nằm cách thành phố Rạch Giá khoảng 65km về phía tây nam. Là hòn đảo còn hoang sơ với nhiều bãi biển đẹp và núi non hùng vĩ.",Kiên Giang
Thác Bảo Đại,"Nằm ở xã Đạ Nhim, huyện Lạc Dương, cách thành phố Đà Lạt khoảng 15km về phía đông bắc. Là thác nước đẹp gắn liền với truyền thuyết về vua Bảo Đại.",Lâm Đồng
Hồ Dầu Tiếng,"Nằm trên địa phận 3 tỉnh Tây Ninh, Bình Dương và Bình Phước, cách TP.HCM khoảng 90km về phía tây bắc. Là hồ nhân tạo lớn nhất Việt Nam.",Tây Ninh
Đảo Ngọc Vừng,"Nằm trong vịnh Bái Tử Long, cách thành phố Hạ Long khoảng 40km về phía đông. Là hòn đảo hoang sơ với nhiều bãi biển đẹp.",Quảng Ninh
Vườn quốc gia Bù Gia Mập,"Nằm ở huyện Bù Gia Mập, cách TP.HCM khoảng 200km về phía đông bắc. Là khu bảo tồn thiên nhiên quan trọng với hệ động thực vật phong phú.",Bình Phước
Thác Hang Én,"Nằm trong Vườn Quốc gia Phong Nha-Kẻ Bàng, cách thành phố Đồng Hới khoảng 80km về phía tây bắc. Là thác nước đẹp gần cửa hang Én.",Quảng Bình
Đảo Cái Chiên,"Nằm ở huyện Hải Hà, cách thành phố Móng Cái khoảng 50km về phía đông nam. Là hòn đảo lớn nhất tỉnh Quảng Ninh với nhiều bãi biển đẹp.",Quảng Ninh
Hồ Pa Khoang,"Nằm ở xã Mường Phăng, huyện Điện Biên, cách thành phố Điện Biên Phủ khoảng 20km về phía tây bắc. Là hồ nước đẹp với cảnh quan núi rừng xung quanh.",Điện Biên
Đảo Bé (An Bình),"Nằm cách đảo Lý Sơn khoảng 3km về phía đông, thuộc huyện Lý Sơn. Là hòn đảo nhỏ với bãi biển đẹp và làng chài yên bình.",Quảng Ngãi
